#    L    TT             EE             BB             TE          
     2   0.102110E+04   0.310924E-01   0.183138E-05   0.263531E+01
     3   0.966787E+03   0.399410E-01   0.365996E-05   0.295333E+01
     4   0.915233E+03   0.347144E-01   0.609725E-05   0.277069E+01
     5   0.876676E+03   0.232419E-01   0.914462E-05   0.236038E+01
     6   0.850381E+03   0.130340E-01   0.128034E-04   0.190220E+01
     7   0.833660E+03   0.704273E-02   0.170745E-04   0.149434E+01
     8   0.823483E+03   0.452844E-02   0.219590E-04   0.118010E+01
     9   0.819377E+03   0.362960E-02   0.274578E-04   0.969661E+00
    10   0.818566E+03   0.310271E-02   0.335724E-04   0.851344E+00
    11   0.820375E+03   0.262083E-02   0.403042E-04   0.807078E+00
    12   0.825322E+03   0.229498E-02   0.476545E-04   0.815252E+00
    13   0.831947E+03   0.220815E-02   0.556249E-04   0.854858E+00
    14   0.839502E+03   0.230248E-02   0.642170E-04   0.909864E+00
    15   0.848142E+03   0.249043E-02   0.734323E-04   0.970531E+00
    16   0.858154E+03   0.275275E-02   0.832726E-04   0.103311E+01
    17   0.869220E+03   0.312855E-02   0.937393E-04   0.109494E+01
    18   0.880604E+03   0.365868E-02   0.104834E-03   0.115640E+01
    19   0.893412E+03   0.435351E-02   0.116559E-03   0.122364E+01
    20   0.906273E+03   0.519636E-02   0.128915E-03   0.129366E+01
    21   0.919753E+03   0.617313E-02   0.141903E-03   0.136801E+01
    22   0.933697E+03   0.728758E-02   0.155526E-03   0.144388E+01
    23   0.947701E+03   0.853985E-02   0.169785E-03   0.151997E+01
    24   0.962110E+03   0.993434E-02   0.184681E-03   0.159490E+01
    25   0.977088E+03   0.114650E-01   0.200216E-03   0.166109E+01
    26   0.992165E+03   0.131347E-01   0.216391E-03   0.172179E+01
    27   0.100770E+04   0.149674E-01   0.233206E-03   0.177667E+01
    28   0.102349E+04   0.169698E-01   0.250665E-03   0.182025E+01
    29   0.103950E+04   0.191568E-01   0.268766E-03   0.185895E+01
    30   0.105598E+04   0.215430E-01   0.287512E-03   0.188731E+01
    31   0.107225E+04   0.241251E-01   0.306903E-03   0.191448E+01
    32   0.108905E+04   0.269257E-01   0.326940E-03   0.193376E+01
    33   0.110588E+04   0.299225E-01   0.347624E-03   0.194493E+01
    34   0.112279E+04   0.331536E-01   0.368956E-03   0.195062E+01
    35   0.114042E+04   0.366081E-01   0.390935E-03   0.194132E+01
    36   0.115790E+04   0.402938E-01   0.413564E-03   0.192661E+01
    37   0.117565E+04   0.442341E-01   0.436841E-03   0.190049E+01
    38   0.119363E+04   0.484206E-01   0.460767E-03   0.186489E+01
    39   0.121179E+04   0.528499E-01   0.485344E-03   0.181946E+01
    40   0.123013E+04   0.575222E-01   0.510570E-03   0.176224E+01
    41   0.124860E+04   0.624403E-01   0.536445E-03   0.169197E+01
    42   0.126723E+04   0.676181E-01   0.562971E-03   0.161000E+01
    43   0.128600E+04   0.730713E-01   0.590147E-03   0.151794E+01
    44   0.130496E+04   0.788141E-01   0.617972E-03   0.141581E+01
    45   0.132415E+04   0.848573E-01   0.646447E-03   0.130330E+01
    46   0.134354E+04   0.912065E-01   0.675571E-03   0.118037E+01
    47   0.136310E+04   0.978564E-01   0.705345E-03   0.104608E+01
    48   0.138283E+04   0.104792E+00   0.735767E-03   0.899246E+00
    49   0.140270E+04   0.111997E+00   0.766838E-03   0.738778E+00
    50   0.142278E+04   0.119468E+00   0.798556E-03   0.563708E+00
    51   0.144314E+04   0.127205E+00   0.830923E-03   0.373531E+00
    52   0.146371E+04   0.135219E+00   0.863936E-03   0.169350E+00
    53   0.148442E+04   0.143523E+00   0.897597E-03  -0.475359E-01
    54   0.150524E+04   0.152132E+00   0.931903E-03  -0.276686E+00
