#    L    TT             EE             BB             TE          
     2   0.151709E+04   0.393205E-01   0.150300E-01   0.326230E+01
     3   0.136516E+04   0.481885E-01   0.147951E-01   0.302906E+01
     4   0.129119E+04   0.417881E-01   0.124398E-01   0.268854E+01
     5   0.124549E+04   0.285348E-01   0.939679E-02   0.223604E+01
     6   0.121755E+04   0.167317E-01   0.665189E-02   0.177440E+01
     7   0.120171E+04   0.973291E-02   0.466207E-02   0.137235E+01
     8   0.119352E+04   0.683999E-02   0.349894E-02   0.105841E+01
     9   0.119183E+04   0.603782E-02   0.303423E-02   0.843216E+00
    10   0.119357E+04   0.590110E-02   0.306896E-02   0.711329E+00
    11   0.119780E+04   0.595942E-02   0.342470E-02   0.650609E+00
    12   0.120472E+04   0.625609E-02   0.396783E-02   0.636476E+00
    13   0.121296E+04   0.684004E-02   0.461538E-02   0.654644E+00
    14   0.122190E+04   0.765482E-02   0.532622E-02   0.681059E+00
    15   0.123183E+04   0.860630E-02   0.608047E-02   0.711931E+00
    16   0.124294E+04   0.967384E-02   0.687183E-02   0.742132E+00
    17   0.125482E+04   0.108949E-01   0.769794E-02   0.768451E+00
    18   0.126669E+04   0.123079E-01   0.855675E-02   0.791777E+00
    19   0.127968E+04   0.139215E-01   0.944624E-02   0.818469E+00
    20   0.129243E+04   0.157174E-01   0.103645E-01   0.845711E+00
    21   0.130556E+04   0.176798E-01   0.113100E-01   0.875421E+00
    22   0.131893E+04   0.198111E-01   0.122814E-01   0.905058E+00
    23   0.133215E+04   0.221113E-01   0.132775E-01   0.933027E+00
    24   0.134559E+04   0.245849E-01   0.142972E-01   0.957651E+00
    25   0.135940E+04   0.272245E-01   0.153386E-01   0.971514E+00
    26   0.137312E+04   0.300313E-01   0.164000E-01   0.978191E+00
    27   0.138713E+04   0.330271E-01   0.174808E-01   0.977986E+00
    28   0.140124E+04   0.362168E-01   0.185806E-01   0.965784E+00
    29   0.141541E+04   0.396179E-01   0.196972E-01   0.947307E+00
    30   0.142989E+04   0.432469E-01   0.208287E-01   0.916547E+00
    31   0.144401E+04   0.470957E-01   0.219737E-01   0.883720E+00
    32   0.145852E+04   0.511819E-01   0.231311E-01   0.843283E+00
    33   0.147293E+04   0.554831E-01   0.242998E-01   0.794789E+00
    34   0.148729E+04   0.600397E-01   0.254784E-01   0.740267E+00
    35   0.150224E+04   0.648432E-01   0.266645E-01   0.669553E+00
    36   0.151692E+04   0.699024E-01   0.278557E-01   0.591950E+00
    37   0.153174E+04   0.752322E-01   0.290512E-01   0.502896E+00
    38   0.154669E+04   0.808158E-01   0.302504E-01   0.405760E+00
    39   0.156171E+04   0.866504E-01   0.314515E-01   0.299900E+00
    40   0.157680E+04   0.927395E-01   0.326526E-01   0.182653E+00
    41   0.159194E+04   0.990884E-01   0.338517E-01   0.521923E-01
    42   0.160712E+04   0.105709E+00   0.350473E-01  -0.900135E-01
    43   0.162236E+04   0.112616E+00   0.362380E-01  -0.242073E+00
    44   0.163770E+04   0.119819E+00   0.374224E-01  -0.403700E+00
    45   0.165319E+04   0.127328E+00   0.385992E-01  -0.574910E+00
    46   0.166880E+04   0.135147E+00   0.397668E-01  -0.755519E+00
    47   0.168451E+04   0.143268E+00   0.409240E-01  -0.946387E+00
    48   0.170030E+04   0.151676E+00   0.420696E-01  -0.114866E+01
    49   0.171618E+04   0.160354E+00   0.432022E-01  -0.136340E+01
    50   0.173220E+04   0.169297E+00   0.443207E-01  -0.159153E+01
    51   0.174844E+04   0.178504E+00   0.454237E-01  -0.183353E+01
    52   0.176484E+04   0.187986E+00   0.465102E-01  -0.208820E+01
    53   0.178132E+04   0.197755E+00   0.475791E-01  -0.235416E+01
    54   0.179786E+04   0.207822E+00   0.486295E-01  -0.263087E+01
    55   0.181446E+04   0.218200E+00   0.496603E-01  -0.291817E+01
    56   0.183121E+04   0.228893E+00   0.506706E-01  -0.321658E+01
    57   0.184825E+04   0.239888E+00   0.516593E-01  -0.352683E+01
    58   0.186554E+04   0.251171E+00   0.526258E-01  -0.384900E+01
    59   0.188301E+04   0.262729E+00   0.535691E-01  -0.418289E+01
    60   0.190067E+04   0.274541E+00   0.544883E-01  -0.452789E+01
    61   0.191852E+04   0.286591E+00   0.553827E-01  -0.488346E+01
    62   0.193657E+04   0.298881E+00   0.562515E-01  -0.524976E+01
    63   0.195480E+04   0.311418E+00   0.570939E-01  -0.562711E+01
    64   0.197318E+04   0.324207E+00   0.579091E-01  -0.601584E+01
    65   0.199173E+04   0.337257E+00   0.586963E-01  -0.641634E+01
    66   0.201045E+04   0.350568E+00   0.594549E-01  -0.682895E+01
    67   0.202937E+04   0.364128E+00   0.601844E-01  -0.725302E+01
    68   0.204848E+04   0.377920E+00   0.608844E-01  -0.768764E+01
    69   0.206777E+04   0.391930E+00   0.615545E-01  -0.813194E+01
    70   0.208725E+04   0.406144E+00   0.621944E-01  -0.858521E+01
    71   0.210693E+04   0.420552E+00   0.628037E-01  -0.904714E+01
    72   0.212690E+04   0.435150E+00   0.633821E-01  -0.951865E+01
    73   0.214724E+04   0.449931E+00   0.639296E-01  -0.100007E+02
    74   0.216794E+04   0.464885E+00   0.644458E-01  -0.104934E+02
