#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.151708E+04   0.393187E-01   0.150281E-01   0.326230E+01   0.503390E-07   0.300258E-02  -0.122900E-04
     3   0.136516E+04   0.481849E-01   0.147914E-01   0.302907E+01   0.611514E-07   0.299902E-02  -0.131844E-04
     4   0.129118E+04   0.417822E-01   0.124337E-01   0.268855E+01   0.704367E-07   0.292554E-02  -0.111647E-04
     5   0.124548E+04   0.285258E-01   0.938765E-02   0.223605E+01   0.784943E-07   0.282453E-02  -0.760617E-05
     6   0.121752E+04   0.167190E-01   0.663909E-02   0.177442E+01   0.855192E-07   0.271513E-02  -0.369438E-05
     7   0.120168E+04   0.971592E-02   0.464500E-02   0.137237E+01   0.916984E-07   0.260633E-02  -0.344198E-06
     8   0.119348E+04   0.681809E-02   0.347698E-02   0.105843E+01   0.971654E-07   0.250151E-02   0.189329E-05
     9   0.119178E+04   0.601042E-02   0.300677E-02   0.843233E+00   0.102031E-06   0.240060E-02   0.285121E-05
    10   0.119351E+04   0.586759E-02   0.303538E-02   0.711347E+00   0.106362E-06   0.230613E-02   0.269041E-05
    11   0.119773E+04   0.591916E-02   0.338439E-02   0.650630E+00   0.110254E-06   0.221981E-02   0.178351E-05
    12   0.120463E+04   0.620847E-02   0.392017E-02   0.636501E+00   0.113710E-06   0.213876E-02   0.577412E-06
    13   0.121287E+04   0.678445E-02   0.455976E-02   0.654675E+00   0.116834E-06   0.206408E-02  -0.517789E-06
    14   0.122179E+04   0.759063E-02   0.526200E-02   0.681099E+00   0.119615E-06   0.199247E-02  -0.122091E-05
    15   0.123170E+04   0.853288E-02   0.600703E-02   0.711981E+00   0.122128E-06   0.192402E-02  -0.143435E-05
    16   0.124279E+04   0.959057E-02   0.678856E-02   0.742194E+00   0.124376E-06   0.185831E-02  -0.123464E-05
    17   0.125465E+04   0.108011E-01   0.760420E-02   0.768528E+00   0.126386E-06   0.179563E-02  -0.803055E-06
    18   0.126651E+04   0.122030E-01   0.845192E-02   0.791870E+00   0.128193E-06   0.173644E-02  -0.325923E-06
    19   0.127948E+04   0.138049E-01   0.932968E-02   0.818582E+00   0.129807E-06   0.168051E-02   0.521856E-07
    20   0.129222E+04   0.155885E-01   0.102356E-01   0.845846E+00   0.131236E-06   0.162754E-02   0.221125E-06
    21   0.130532E+04   0.175379E-01   0.111681E-01   0.875583E+00   0.132501E-06   0.157764E-02   0.162756E-06
    22   0.131867E+04   0.196556E-01   0.121258E-01   0.905251E+00   0.133625E-06   0.153082E-02  -0.942374E-07
    23   0.133188E+04   0.219416E-01   0.131077E-01   0.933255E+00   0.134617E-06   0.148650E-02  -0.424527E-06
    24   0.134529E+04   0.244002E-01   0.141125E-01   0.957917E+00   0.135483E-06   0.144405E-02  -0.697538E-06
    25   0.135908E+04   0.270243E-01   0.151384E-01   0.971823E+00   0.136231E-06   0.140333E-02  -0.853676E-06
    26   0.137278E+04   0.298150E-01   0.161836E-01   0.978546E+00   0.136869E-06   0.136427E-02  -0.865601E-06
    27   0.138677E+04   0.327940E-01   0.172476E-01   0.978390E+00   0.137410E-06   0.132681E-02  -0.763683E-06
    28   0.140085E+04   0.359663E-01   0.183299E-01   0.966242E+00   0.137863E-06   0.129086E-02  -0.594559E-06
    29   0.141499E+04   0.393494E-01   0.194285E-01   0.947823E+00   0.138232E-06   0.125636E-02  -0.413428E-06
    30   0.142945E+04   0.429598E-01   0.205412E-01   0.917125E+00   0.138519E-06   0.122334E-02  -0.274145E-06
    31   0.144355E+04   0.467893E-01   0.216668E-01   0.884365E+00   0.138733E-06   0.119195E-02  -0.217542E-06
    32   0.145803E+04   0.508555E-01   0.228041E-01   0.843999E+00   0.138881E-06   0.116228E-02  -0.264970E-06
    33   0.147241E+04   0.551363E-01   0.239521E-01   0.795581E+00   0.138969E-06   0.113395E-02  -0.373376E-06
    34   0.148674E+04   0.596717E-01   0.251094E-01   0.741139E+00   0.138999E-06   0.110656E-02  -0.490552E-06
    35   0.150167E+04   0.644536E-01   0.262735E-01   0.670508E+00   0.138974E-06   0.108005E-02  -0.591084E-06
    36   0.151632E+04   0.694904E-01   0.274421E-01   0.592993E+00   0.138896E-06   0.105445E-02  -0.654869E-06
    37   0.153111E+04   0.747973E-01   0.286143E-01   0.504030E+00   0.138770E-06   0.102978E-02  -0.656182E-06
    38   0.154604E+04   0.803574E-01   0.297896E-01   0.406990E+00   0.138602E-06   0.100606E-02  -0.580128E-06
    39   0.156103E+04   0.861679E-01   0.309661E-01   0.301229E+00   0.138394E-06   0.983294E-03  -0.460438E-06
    40   0.157609E+04   0.922324E-01   0.321420E-01   0.184083E+00   0.138148E-06   0.961502E-03  -0.342827E-06
    41   0.159119E+04   0.985560E-01   0.333152E-01   0.537254E-01   0.137867E-06   0.940666E-03  -0.264195E-06
    42   0.160635E+04   0.105151E+00   0.344843E-01  -0.883753E-01   0.137552E-06   0.920685E-03  -0.226774E-06
    43   0.162156E+04   0.112031E+00   0.356479E-01  -0.240328E+00   0.137207E-06   0.901433E-03  -0.224169E-06
