#    L    TT             EE             TE             PP             TP          
     2   0.102110E+04   0.310906E-01   0.263531E+01   0.104423E+07   0.279888E+05
     3   0.966780E+03   0.399374E-01   0.295334E+01   0.160547E+07   0.333578E+05
     4   0.915221E+03   0.347084E-01   0.277070E+01   0.210403E+07   0.358482E+05
     5   0.876659E+03   0.232329E-01   0.236039E+01   0.254418E+07   0.367959E+05
     6   0.850357E+03   0.130213E-01   0.190222E+01   0.293253E+07   0.368975E+05
     7   0.833628E+03   0.702573E-02   0.149436E+01   0.327680E+07   0.365315E+05
     8   0.823442E+03   0.450654E-02   0.118012E+01   0.358327E+07   0.359004E+05
     9   0.819326E+03   0.360220E-02   0.969679E+00   0.385735E+07   0.351001E+05
    10   0.818505E+03   0.306920E-02   0.851362E+00   0.410275E+07   0.342310E+05
    11   0.820302E+03   0.258057E-02   0.807099E+00   0.432403E+07   0.333626E+05
    12   0.825236E+03   0.224737E-02   0.815277E+00   0.452216E+07   0.324821E+05
    13   0.831848E+03   0.215256E-02   0.854890E+00   0.470188E+07   0.316282E+05
    14   0.839388E+03   0.223829E-02   0.909904E+00   0.486332E+07   0.307662E+05
    15   0.848013E+03   0.241702E-02   0.970582E+00   0.500992E+07   0.299083E+05
    16   0.858009E+03   0.266948E-02   0.103317E+01   0.514222E+07   0.290570E+05
    17   0.869058E+03   0.303480E-02   0.109502E+01   0.526168E+07   0.282233E+05
    18   0.880425E+03   0.355383E-02   0.115649E+01   0.537002E+07   0.274198E+05
    19   0.893214E+03   0.423693E-02   0.122376E+01   0.546788E+07   0.266472E+05
    20   0.906057E+03   0.506742E-02   0.129380E+01   0.555579E+07   0.259045E+05
    21   0.919518E+03   0.603121E-02   0.136818E+01   0.563487E+07   0.251958E+05
    22   0.933442E+03   0.713204E-02   0.144408E+01   0.570623E+07   0.245240E+05
    23   0.947425E+03   0.837007E-02   0.152020E+01   0.577040E+07   0.238817E+05
    24   0.961811E+03   0.974968E-02   0.159516E+01   0.582773E+07   0.232603E+05
    25   0.976768E+03   0.112648E-01   0.166140E+01   0.587869E+07   0.226587E+05
    26   0.991822E+03   0.129184E-01   0.172214E+01   0.592376E+07   0.220771E+05
    27   0.100734E+04   0.147343E-01   0.177708E+01   0.596351E+07   0.215151E+05
    28   0.102310E+04   0.167193E-01   0.182071E+01   0.599847E+07   0.209722E+05
    29   0.103909E+04   0.188883E-01   0.185946E+01   0.602885E+07   0.204483E+05
    30   0.105554E+04   0.212559E-01   0.188789E+01   0.605483E+07   0.199440E+05
    31   0.107179E+04   0.238187E-01   0.191512E+01   0.607680E+07   0.194626E+05
    32   0.108856E+04   0.265994E-01   0.193447E+01   0.609519E+07   0.190059E+05
    33   0.110536E+04   0.295757E-01   0.194572E+01   0.611025E+07   0.185683E+05
    34   0.112224E+04   0.327857E-01   0.195149E+01   0.612218E+07   0.181433E+05
    35   0.113985E+04   0.362185E-01   0.194228E+01   0.613110E+07   0.177303E+05
    36   0.115730E+04   0.398818E-01   0.192766E+01   0.613712E+07   0.173301E+05
    37   0.117502E+04   0.437992E-01   0.190163E+01   0.614051E+07   0.169432E+05
    38   0.119297E+04   0.479623E-01   0.186612E+01   0.614157E+07   0.165701E+05
    39   0.121111E+04   0.523675E-01   0.182079E+01   0.614043E+07   0.162112E+05
    40   0.122941E+04   0.570150E-01   0.176367E+01   0.613720E+07   0.158668E+05
    41   0.124786E+04   0.619080E-01   0.169351E+01   0.613199E+07   0.155369E+05
    42   0.126645E+04   0.670599E-01   0.161164E+01   0.612494E+07   0.152198E+05
    43   0.128519E+04   0.724868E-01   0.151969E+01   0.611616E+07   0.149136E+05
    44   0.130412E+04   0.782027E-01   0.141767E+01   0.610577E+07   0.146165E+05
