#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.102110E+04   0.263531E+01   0.300258E-02   0.263531E+01   0.310906E-01  -0.122900E-04   0.300258E-02  -0.122900E-04   0.503390E-07
     3   0.966780E+03   0.295334E+01   0.299902E-02   0.295334E+01   0.399374E-01  -0.131844E-04   0.299902E-02  -0.131844E-04   0.611514E-07
     4   0.915221E+03   0.277070E+01   0.292554E-02   0.277070E+01   0.347084E-01  -0.111647E-04   0.292554E-02  -0.111647E-04   0.704367E-07
     5   0.876659E+03   0.236039E+01   0.282453E-02   0.236039E+01   0.232329E-01  -0.760617E-05   0.282453E-02  -0.760617E-05   0.784943E-07
     6   0.850357E+03   0.190222E+01   0.271513E-02   0.190222E+01   0.130213E-01  -0.369438E-05   0.271513E-02  -0.369438E-05   0.855192E-07
     7   0.833628E+03   0.149436E+01   0.260633E-02   0.149436E+01   0.702573E-02  -0.344198E-06   0.260633E-02  -0.344198E-06   0.916984E-07
     8   0.823442E+03   0.118012E+01   0.250151E-02   0.118012E+01   0.450654E-02   0.189329E-05   0.250151E-02   0.189329E-05   0.971654E-07
     9   0.819326E+03   0.969679E+00   0.240060E-02   0.969679E+00   0.360220E-02   0.285121E-05   0.240060E-02   0.285121E-05   0.102031E-06
    10   0.818505E+03   0.851362E+00   0.230613E-02   0.851362E+00   0.306920E-02   0.269041E-05   0.230613E-02   0.269041E-05   0.106362E-06
    11   0.820302E+03   0.807099E+00   0.221981E-02   0.807099E+00   0.258057E-02   0.178351E-05   0.221981E-02   0.178351E-05   0.110254E-06
    12   0.825236E+03   0.815277E+00   0.213876E-02   0.815277E+00   0.224737E-02   0.577412E-06   0.213876E-02   0.577412E-06   0.113710E-06
    13   0.831848E+03   0.854890E+00   0.206408E-02   0.854890E+00   0.215256E-02  -0.517789E-06   0.206408E-02  -0.517789E-06   0.116834E-06
    14   0.839388E+03   0.909904E+00   0.199248E-02   0.909904E+00   0.223829E-02  -0.122091E-05   0.199248E-02  -0.122091E-05   0.119615E-06
    15   0.848013E+03   0.970582E+00   0.192402E-02   0.970582E+00   0.241702E-02  -0.143435E-05   0.192402E-02  -0.143435E-05   0.122128E-06
    16   0.858009E+03   0.103317E+01   0.185830E-02   0.103317E+01   0.266948E-02  -0.123500E-05   0.185830E-02  -0.123500E-05   0.124376E-06
    17   0.869058E+03   0.109502E+01   0.179563E-02   0.109502E+01   0.303480E-02  -0.803055E-06   0.179563E-02  -0.803055E-06   0.126386E-06
    18   0.880425E+03   0.115649E+01   0.173644E-02   0.115649E+01   0.355383E-02  -0.325960E-06   0.173644E-02  -0.325960E-06   0.128193E-06
    19   0.893214E+03   0.122376E+01   0.168051E-02   0.122376E+01   0.423693E-02   0.521856E-07   0.168051E-02   0.521856E-07   0.129807E-06
    20   0.906057E+03   0.129380E+01   0.162754E-02   0.129380E+01   0.506742E-02   0.221139E-06   0.162754E-02   0.221139E-06   0.131236E-06
    21   0.919518E+03   0.136818E+01   0.157763E-02   0.136818E+01   0.603121E-02   0.162756E-06   0.157763E-02   0.162756E-06   0.132501E-06
    22   0.933442E+03   0.144408E+01   0.153082E-02   0.144408E+01   0.713204E-02  -0.940902E-07   0.153082E-02  -0.940902E-07   0.133625E-06
    23   0.947425E+03   0.152020E+01   0.148650E-02   0.152020E+01   0.837007E-02  -0.424527E-06   0.148650E-02  -0.424527E-06   0.134617E-06
    24   0.961812E+03   0.159516E+01   0.144405E-02   0.159516E+01   0.974968E-02  -0.697557E-06   0.144405E-02  -0.697557E-06   0.135483E-06
    25   0.976768E+03   0.166140E+01   0.140333E-02   0.166140E+01   0.112648E-01  -0.853676E-06   0.140333E-02  -0.853676E-06   0.136231E-06
