#    L    TT             EE             BB             TE          
     2   0.495988E+03   0.822803E-02   0.150281E-01   0.626994E+00
     3   0.398376E+03   0.824748E-02   0.147914E-01   0.757309E-01
     4   0.375958E+03   0.707378E-02   0.124337E-01  -0.821499E-01
     5   0.368818E+03   0.529285E-02   0.938765E-02  -0.124337E+00
     6   0.367165E+03   0.369771E-02   0.663909E-02  -0.127796E+00
     7   0.368054E+03   0.269018E-02   0.464500E-02  -0.121992E+00
     8   0.370036E+03   0.231155E-02   0.347698E-02  -0.121694E+00
     9   0.372454E+03   0.240822E-02   0.300677E-02  -0.126445E+00
    10   0.375001E+03   0.279839E-02   0.303538E-02  -0.140015E+00
    11   0.377424E+03   0.333859E-02   0.338439E-02  -0.156469E+00
    12   0.379394E+03   0.396110E-02   0.392017E-02  -0.178776E+00
    13   0.381018E+03   0.463189E-02   0.455976E-02  -0.200214E+00
    14   0.382397E+03   0.535234E-02   0.526200E-02  -0.228805E+00
    15   0.383687E+03   0.611587E-02   0.600703E-02  -0.258601E+00
    16   0.384782E+03   0.692109E-02   0.678856E-02  -0.290980E+00
    17   0.385596E+03   0.776631E-02   0.760420E-02  -0.326487E+00
    18   0.386086E+03   0.864919E-02   0.845192E-02  -0.364624E+00
    19   0.386264E+03   0.956799E-02   0.932968E-02  -0.405176E+00
    20   0.386160E+03   0.105211E-01   0.102356E-01  -0.447953E+00
    21   0.385805E+03   0.115067E-01   0.111681E-01  -0.492593E+00
    22   0.385232E+03   0.125235E-01   0.121258E-01  -0.538826E+00
    23   0.384453E+03   0.135715E-01   0.131077E-01  -0.586941E+00
    24   0.383478E+03   0.146505E-01   0.141125E-01  -0.637246E+00
    25   0.382311E+03   0.157595E-01   0.151384E-01  -0.689578E+00
    26   0.380958E+03   0.168967E-01   0.161836E-01  -0.743594E+00
    27   0.379433E+03   0.180597E-01   0.172476E-01  -0.798689E+00
    28   0.377748E+03   0.192470E-01   0.183299E-01  -0.854470E+00
    29   0.375906E+03   0.204611E-01   0.194285E-01  -0.911639E+00
    30   0.373907E+03   0.217039E-01   0.205412E-01  -0.970763E+00
    31   0.371759E+03   0.229706E-01   0.216668E-01  -0.103076E+01
    32   0.369472E+03   0.242561E-01   0.228041E-01  -0.109047E+01
    33   0.367050E+03   0.255606E-01   0.239521E-01  -0.115014E+01
    34   0.364499E+03   0.268860E-01   0.251094E-01  -0.121035E+01
    35   0.361821E+03   0.282351E-01   0.262735E-01  -0.127177E+01
    36   0.359017E+03   0.296086E-01   0.274421E-01  -0.133466E+01
    37   0.356095E+03   0.309981E-01   0.286143E-01  -0.139760E+01
    38   0.353062E+03   0.323951E-01   0.297896E-01  -0.145913E+01
    39   0.349922E+03   0.338004E-01   0.309661E-01  -0.151956E+01
    40   0.346678E+03   0.352173E-01   0.321420E-01  -0.157959E+01
    41   0.343333E+03   0.366480E-01   0.333152E-01  -0.163978E+01
    42   0.339893E+03   0.380912E-01   0.344843E-01  -0.170002E+01
    43   0.336361E+03   0.395443E-01   0.356479E-01  -0.176002E+01
    44   0.332742E+03   0.410051E-01   0.368045E-01  -0.181951E+01
    45   0.329039E+03   0.424711E-01   0.379527E-01  -0.187821E+01
    46   0.325258E+03   0.439403E-01   0.390912E-01  -0.193589E+01
    47   0.321402E+03   0.454115E-01   0.402187E-01  -0.199246E+01
    48   0.317474E+03   0.468839E-01   0.413338E-01  -0.204790E+01
    49   0.313479E+03   0.483566E-01   0.424354E-01  -0.210217E+01
    50   0.309421E+03   0.498289E-01   0.435221E-01  -0.215524E+01
    51   0.305302E+03   0.512997E-01   0.445927E-01  -0.220706E+01
    52   0.301127E+03   0.527676E-01   0.456462E-01  -0.225755E+01
    53   0.296901E+03   0.542314E-01   0.466815E-01  -0.230663E+01
    54   0.292625E+03   0.556894E-01   0.476976E-01  -0.235418E+01
    55   0.288306E+03   0.571403E-01   0.486935E-01  -0.240014E+01
    56   0.283946E+03   0.585826E-01   0.496681E-01  -0.244440E+01
    57   0.279548E+03   0.600149E-01   0.506206E-01  -0.248690E+01
    58   0.275118E+03   0.614356E-01   0.515502E-01  -0.252757E+01
    59   0.270657E+03   0.628433E-01   0.524559E-01  -0.256634E+01
    60   0.266170E+03   0.642365E-01   0.533370E-01  -0.260314E+01
    61   0.261660E+03   0.656140E-01   0.541926E-01  -0.263792E+01
    62   0.257130E+03   0.669747E-01   0.550220E-01  -0.267066E+01
    63   0.252584E+03   0.683180E-01   0.558242E-01  -0.270136E+01
    64   0.248024E+03   0.696432E-01   0.565987E-01  -0.273003E+01
