#    L    TT             EE             BB             TE          
     2   0.151708E+04   0.393187E-01   0.150281E-01   0.326230E+01
     3   0.136516E+04   0.481849E-01   0.147914E-01   0.302907E+01
     4   0.129118E+04   0.417822E-01   0.124337E-01   0.268855E+01
     5   0.124548E+04   0.285258E-01   0.938765E-02   0.223605E+01
     6   0.121752E+04   0.167190E-01   0.663909E-02   0.177442E+01
     7   0.120168E+04   0.971592E-02   0.464500E-02   0.137237E+01
     8   0.119348E+04   0.681809E-02   0.347698E-02   0.105843E+01
     9   0.119178E+04   0.601042E-02   0.300677E-02   0.843233E+00
    10   0.119351E+04   0.586759E-02   0.303538E-02   0.711347E+00
    11   0.119773E+04   0.591916E-02   0.338439E-02   0.650630E+00
    12   0.120463E+04   0.620847E-02   0.392017E-02   0.636501E+00
    13   0.121287E+04   0.678445E-02   0.455976E-02   0.654675E+00
    14   0.122179E+04   0.759063E-02   0.526200E-02   0.681099E+00
    15   0.123170E+04   0.853288E-02   0.600703E-02   0.711981E+00
    16   0.124279E+04   0.959057E-02   0.678856E-02   0.742194E+00
    17   0.125465E+04   0.108011E-01   0.760420E-02   0.768528E+00
    18   0.126651E+04   0.122030E-01   0.845192E-02   0.791870E+00
    19   0.127948E+04   0.138049E-01   0.932968E-02   0.818582E+00
    20   0.129222E+04   0.155885E-01   0.102356E-01   0.845846E+00
    21   0.130532E+04   0.175379E-01   0.111681E-01   0.875583E+00
    22   0.131867E+04   0.196556E-01   0.121258E-01   0.905251E+00
    23   0.133188E+04   0.219416E-01   0.131077E-01   0.933255E+00
    24   0.134529E+04   0.244002E-01   0.141125E-01   0.957917E+00
    25   0.135908E+04   0.270243E-01   0.151384E-01   0.971823E+00
    26   0.137278E+04   0.298150E-01   0.161836E-01   0.978546E+00
    27   0.138677E+04   0.327940E-01   0.172476E-01   0.978390E+00
    28   0.140085E+04   0.359663E-01   0.183299E-01   0.966242E+00
    29   0.141499E+04   0.393494E-01   0.194285E-01   0.947823E+00
    30   0.142945E+04   0.429598E-01   0.205412E-01   0.917125E+00
    31   0.144355E+04   0.467893E-01   0.216668E-01   0.884365E+00
    32   0.145803E+04   0.508555E-01   0.228041E-01   0.843999E+00
    33   0.147241E+04   0.551363E-01   0.239521E-01   0.795581E+00
    34   0.148674E+04   0.596717E-01   0.251094E-01   0.741139E+00
    35   0.150167E+04   0.644536E-01   0.262735E-01   0.670508E+00
    36   0.151632E+04   0.694904E-01   0.274421E-01   0.592993E+00
    37   0.153111E+04   0.747973E-01   0.286143E-01   0.504030E+00
    38   0.154604E+04   0.803574E-01   0.297896E-01   0.406990E+00
    39   0.156103E+04   0.861679E-01   0.309661E-01   0.301229E+00
    40   0.157609E+04   0.922324E-01   0.321420E-01   0.184083E+00
    41   0.159119E+04   0.985560E-01   0.333152E-01   0.537254E-01
    42   0.160635E+04   0.105151E+00   0.344843E-01  -0.883753E-01
    43   0.162156E+04   0.112031E+00   0.356479E-01  -0.240328E+00
    44   0.163686E+04   0.119208E+00   0.368045E-01  -0.401844E+00
    45   0.165232E+04   0.126690E+00   0.379527E-01  -0.572942E+00
    46   0.166790E+04   0.134480E+00   0.390912E-01  -0.753437E+00
    47   0.168357E+04   0.142573E+00   0.402187E-01  -0.944191E+00
    48   0.169934E+04   0.150952E+00   0.413338E-01  -0.114635E+01
    49   0.171518E+04   0.159601E+00   0.424354E-01  -0.136097E+01
    50   0.173117E+04   0.168514E+00   0.435221E-01  -0.158900E+01
    51   0.174738E+04   0.177691E+00   0.445927E-01  -0.183089E+01
    52   0.176375E+04   0.187142E+00   0.456462E-01  -0.208546E+01
    53   0.178019E+04   0.196879E+00   0.466815E-01  -0.235132E+01
    54   0.179670E+04   0.206915E+00   0.476976E-01  -0.262793E+01
    55   0.181326E+04   0.217261E+00   0.486935E-01  -0.291514E+01
    56   0.182998E+04   0.227922E+00   0.496681E-01  -0.321346E+01
    57   0.184698E+04   0.238884E+00   0.506206E-01  -0.352363E+01
    58   0.186424E+04   0.250134E+00   0.515502E-01  -0.384573E+01
    59   0.188168E+04   0.261658E+00   0.524559E-01  -0.417956E+01
    60   0.189930E+04   0.273437E+00   0.533370E-01  -0.452450E+01
    61   0.191713E+04   0.285453E+00   0.541926E-01  -0.488003E+01
    62   0.193514E+04   0.297709E+00   0.550220E-01  -0.524629E+01
    63   0.195333E+04   0.310211E+00   0.558242E-01  -0.562362E+01
    64   0.197168E+04   0.322965E+00   0.565987E-01  -0.601235E+01
    65   0.199019E+04   0.335980E+00   0.573445E-01  -0.641286E+01
    66   0.200889E+04   0.349256E+00   0.580611E-01  -0.682550E+01
    67   0.202777E+04   0.362780E+00   0.587479E-01  -0.724961E+01
    68   0.204684E+04   0.376537E+00   0.594046E-01  -0.768430E+01
    69   0.206610E+04   0.390511E+00   0.600308E-01  -0.812867E+01
    70   0.208555E+04   0.404690E+00   0.606260E-01  -0.858204E+01
    71   0.210519E+04   0.419062E+00   0.611901E-01  -0.904409E+01
    72   0.212513E+04   0.433623E+00   0.617226E-01  -0.951574E+01
    73   0.214544E+04   0.448368E+00   0.622236E-01  -0.999800E+01
    74   0.216611E+04   0.463286E+00   0.626926E-01  -0.104908E+02
    75   0.218711E+04   0.478365E+00   0.631297E-01  -0.109939E+02
    76   0.220838E+04   0.493591E+00   0.635345E-01  -0.115066E+02
    77   0.222980E+04   0.508957E+00   0.639069E-01  -0.120277E+02
    78   0.225137E+04   0.524454E+00   0.642470E-01  -0.125569E+02
    79   0.227318E+04   0.540076E+00   0.645545E-01  -0.130940E+02
    80   0.229526E+04   0.555812E+00   0.648293E-01  -0.136391E+02
    81   0.231765E+04   0.571655E+00   0.650716E-01  -0.141922E+02
    82   0.234037E+04   0.587588E+00   0.652814E-01  -0.147528E+02
    83   0.236339E+04   0.603593E+00   0.654593E-01  -0.153204E+02
    84   0.238673E+04   0.619650E+00   0.656057E-01  -0.158946E+02
    85   0.241037E+04   0.635741E+00   0.657208E-01  -0.164750E+02
    86   0.243431E+04   0.651850E+00   0.658051E-01  -0.170610E+02
    87   0.245852E+04   0.667967E+00   0.658585E-01  -0.176522E+02
    88   0.248298E+04   0.684083E+00   0.658809E-01  -0.182482E+02
    89   0.250769E+04   0.700188E+00   0.658723E-01  -0.188486E+02
    90   0.253266E+04   0.716271E+00   0.658325E-01  -0.194534E+02
    91   0.255789E+04   0.732321E+00   0.657617E-01  -0.200619E+02
    92   0.258338E+04   0.748324E+00   0.656603E-01  -0.206742E+02
    93   0.260916E+04   0.764264E+00   0.655290E-01  -0.212897E+02
    94   0.263520E+04   0.780129E+00   0.653684E-01  -0.219082E+02
    95   0.266153E+04   0.795902E+00   0.651793E-01  -0.225293E+02
    96   0.268815E+04   0.811571E+00   0.649622E-01  -0.231526E+02
    97   0.271504E+04   0.827118E+00   0.647179E-01  -0.237776E+02
    98   0.274223E+04   0.842529E+00   0.644469E-01  -0.244039E+02
    99   0.276968E+04   0.857790E+00   0.641499E-01  -0.250312E+02
   100   0.279741E+04   0.872887E+00   0.638276E-01  -0.256589E+02
   101   0.282542E+04   0.887807E+00   0.634806E-01  -0.262864E+02
   102   0.285371E+04   0.902526E+00   0.631096E-01  -0.269137E+02
   103   0.288226E+04   0.917044E+00   0.627152E-01  -0.275399E+02
   104   0.291107E+04   0.931331E+00   0.622981E-01  -0.281647E+02
   105   0.294014E+04   0.945380E+00   0.618589E-01  -0.287875E+02
   106   0.296945E+04   0.959176E+00   0.613984E-01  -0.294077E+02
   107   0.299901E+04   0.972711E+00   0.609170E-01  -0.300249E+02
   108   0.302879E+04   0.985962E+00   0.604156E-01  -0.306386E+02
   109   0.305881E+04   0.998921E+00   0.598947E-01  -0.312481E+02
   110   0.308905E+04   0.101157E+01   0.593550E-01  -0.318530E+02
   111   0.311951E+04   0.102389E+01   0.587972E-01  -0.324529E+02
   112   0.315017E+04   0.103589E+01   0.582220E-01  -0.330470E+02
   113   0.318105E+04   0.104753E+01   0.576303E-01  -0.336351E+02
   114   0.321212E+04   0.105882E+01   0.570228E-01  -0.342165E+02
